Areaname,LND110210D
"Jefferson, KS",532.57
"Jewell, KS",909.78
"Johnson, KS",473.38
"Kearny, KS",870.54
"Kingman, KS",863.36
"Kiowa, KS",722.64
"Labette, KS",645.3
"Lane, KS",717.46
"Leavenworth, KS",462.83
"Lincoln, KS",719.4
"Linn, KS",594.06
"Logan, KS",1072.99
"Lyon, KS",847.47
"McPherson, KS",898.27
"Marion, KS",944.29
"Marshall, KS",900.18
"Meade, KS",978.09
"Miami, KS",575.66
"Mitchell, KS",701.79
"Montgomery, KS",643.53
"Morris, KS",695.28
"Morton, KS",729.73
"Nemaha, KS",717.43
"Neosho, KS",571.47
"Ness, KS",1074.75
"Norton, KS",878.13
"Osage, KS",705.52
"Osborne, KS",892.5
"Ottawa, KS",720.73
"Pawnee, KS",754.26
"Phillips, KS",885.88
"Pottawatomie, KS",841.02
"Pratt, KS",735.05
"Rawlins, KS",1069.42
"Reno, KS",1255.35
"Republic, KS",717.37
"Rice, KS",726.24
"Riley, KS",609.77
"Rooks, KS",890.53
"Rush, KS",717.76
"Russell, KS",886.26
"Saline, KS",720.23
"Scott, KS",717.54
"Sedgwick, KS",997.51
"Seward, KS",639.5
"Shawnee, KS",544.02
"Sheridan, KS",895.96
"Sherman, KS",1056.07
"Smith, KS",895.47
"Stafford, KS",792.05
"Stanton, KS",680.35
"Stevens, KS",727.29
"Sumner, KS",1181.94
"Thomas, KS",1074.69
"Trego, KS",889.48
"Wabaunsee, KS",794.3
"Wallace, KS",913.65
"Washington, KS",894.76
"Wichita, KS",718.57
"Wilson, KS",570.42
"Woodson, KS",497.82
"Wyandotte, KS",151.6
KENTUCKY,39486.34
"Adair, KY",405.28
"Allen, KY",344.34
"Anderson, KY",201.83
"Ballard, KY",246.66
"Barren, KY",487.54
"Bath, KY",278.79
"Bell, KY",359
"Boone, KY",246.36
"Bourbon, KY",289.72
"Boyd, KY",159.86
"Boyle, KY",180.17
"Bracken, KY",205.61
"Breathitt, KY",492.41
"Breckinridge, KY",567.17
"Bullitt, KY",297.02
"Butler, KY",426.09
"Caldwell, KY",344.79
"Calloway, KY",385.02
"Campbell, KY",151.31
"Carlisle, KY",189.43
"Carroll, KY",128.57
"Carter, KY",409.5
"Casey, KY",444.23
"Christian, KY",717.5
"Clark, KY",252.46
"Clay, KY",469.25
"Clinton, KY",197.25
"Crittenden, KY",359.95
"Cumberland, KY",305.18
"Daviess, KY",458.35
"Edmonson, KY",302.88
"Elliott, KY",234.32
"Estill, KY",253.08
"Fayette, KY",283.65
"Fleming, KY",348.54
"Floyd, KY",393.35
